Ligand#,distance_pi_bond_1,distance_pi_bond_2,dihedral_angle_1,dihedral_angle_2,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb,sum_electronic_and_free_energy_dft,sum_electronic_and_enthalpy_dft,zero_point_correction_dft,entropy_dft,dipole_moment_dft,lone_pair_occupancy_min_donor_dft,lone_pair_occupancy_max_donor_dft,dispersion_energy_dft,nbo_charge_Rh_dft,nbo_charge_min_donor_dft,nbo_charge_max_donor_dft,mulliken_charge_Rh_dft,mulliken_charge_min_donor_dft,mulliken_charge_max_donor_dft,homo_energy_dft,lumo_energy_dft,homo_lumo_gap_dft,hardness_dft,softness_dft,electronegativity_dft,electrophilicity_dft,free_ligand_dipole_moment_dft,free_ligand_lone_pair_occupancy_min_donor_dft,free_ligand_lone_pair_occupancy_max_donor_dft,free_ligand_dispersion_energy_dft,free_ligand_nbo_charge_min_donor_dft,free_ligand_nbo_charge_max_donor_dft,free_ligand_mulliken_charge_min_donor_dft,free_ligand_mulliken_charge_max_donor_dft,free_ligand_homo_energy_dft,free_ligand_lumo_energy_dft,free_ligand_homo_lumo_gap_dft,free_ligand_hardness_dft,free_ligand_softness_dft,free_ligand_electronegativity_dft,free_ligand_electrophilicity_dft,min_NBO_donor,max_NBO_donor,min_bv_donor,max_bv_donor,Rh_donor_min_d,Rh_donor_max_d,std_quad,min_quad,max_quad,std_oct,min_oct,max_oct,ratio_std_oct_std_quad,ratio_min_oct_min_quad,lone_pair_occ_min,lone_pair_occ_max,bite_angle_sin,bite_angle_cos,cone_angle_sin,cone_angle_cos
L1,1.39180243,1.389934348,-5.445910183,-6.70459032,0.531191763,0.546123742,0.548453224,0.503307864,0.078969437,0.160594484,0.159895639,0.140654119,0.983414089,0.931653,0.846720089,0.956252329,92.90208319,222.1654928,2.330337621,2.315897115,0.532298267,0.894142518,0.909231737,0.529424772,0.504213837,0.456304141,0.375793423,55.94872182,62.8568741,62.39800665,826.5935114,3.070648064,1.986829336,4.793295402,3.435159526,0.41721606,-3.070648064,0.364511462,0.067257104,-3722.02749,-3721.909122,0.853443,0.000397008,6.358205012,1.14021,1.09516,-4.66021841,-0.30116,1.11019,1.14475,-0.678155,0.357087,0.408673,-8.437162049,-4.264296151,4.172865897,2.086432949,0.47928691,6.3507291,9.665242328,1.7772464798108338,1.24555,1.29391,-3.4354646637451207,0.89133,0.79783,0.420472,0.332098,-4.6577727790085,-0.66940007223,3.9883727067785,1.9941863533892497,0.5014576487801327,2.66358642561925,1.778843946726754,1.11019,1.14475,0.894142518,0.909231737,2.315897115,2.330337621,0.0207668872667161,0.503307864,0.548453224,0.4271713266345008,0.078969437,0.983414089,20.56982932243025,0.1569008605834142,1.09516,1.14021,-0.9747718118477766,0.223203751821072,0.7755498347823069,-0.631286348473604
L2,1.39121062,1.394866597,-12.77240234,-14.26050506,0.55669959,0.543864145,0.560100634,0.513138278,0.140887067,0.161013791,0.192648155,0.163483041,0.972512113,0.926714499,0.833628401,0.956718226,93.86734374,235.249328,2.406816238,2.323101063,0.543671962,0.943632361,0.910780842,0.548293868,0.525493914,0.455562611,0.354657071,54.02773139,65.91354257,63.35845774,748.3841148,3.150850893,1.591462496,4.806290667,3.530063364,0.418921804,-3.150850893,0.379212471,0.06868922,-3567.50341,-3567.390846,0.77664,0.000377542,4.168309716,1.19396,1.09823,-4.419215214,-0.26093,1.0274,1.13839,-0.613867,0.354999,0.389066,-8.477434898,-4.364978276,4.112456623,2.056228311,0.486327318,6.421206587,10.02609822,1.863689526181869,1.25116,1.34985,-3.175310222416873,0.88766,0.76997,0.411896,0.346155,-4.875735973259,-0.693346091074,4.182389882185,2.0911949410925,0.4781954950013275,2.7845410321665,1.8538847353389585,1.0274,1.13839,0.910780842,0.943632361,2.323101063,2.406816238,0.0213835392510587,0.513138278,0.560100634,0.4073838655542238,0.140887067,0.972512113,19.05128336199317,0.2745596519307024,1.09823,1.19396,-0.3713252090793353,0.92850287511789,0.3617282588583092,-0.9322835763561084
L3,1.392435355,1.388874624,-14.64569747,-6.935351771,0.564806187,0.56308237,0.558609765,0.535641073,0.169213567,0.152907193,0.228289228,0.243011554,0.960398807,0.973257548,0.842992918,0.874207976,93.60203111,223.9426417,2.362471747,2.380743632,0.555400904,0.923779351,0.913075382,0.555598659,0.524754817,0.466664021,0.38307441,57.92161594,59.51693093,63.75200111,790.7220425,2.990687095,1.197028624,4.495300775,3.251414803,0.611426932,-2.990687095,0.260727707,0.062696227,-3729.046324,-3728.925891,0.995411,0.000403934,3.360384194,1.15748,1.14418,-5.156050973,-0.27578,1.06216,1.06709,-0.698187,0.266693,0.286454,-8.53621149,-4.197900372,4.338311119,2.169155559,0.461008892,6.367055931,9.344512212,1.2746375994768082,1.29109,1.3045,-3.890705891997722,0.79591,0.75811,0.297628,0.271552,-4.4841641423895,-0.3159241804305,4.168239961959,2.0841199809795,0.4798188247924274,2.40004416141,1.3819290706121032,1.06216,1.06709,0.913075382,0.923779351,2.362471747,2.380743632,0.0135171522333776,0.535641073,0.564806187,0.3852096738393535,0.152907193,0.973257548,28.49784238488953,0.2854657730849553,1.14418,1.15748,-0.6017963943805197,0.798649547492895,-0.7767968061368468,-0.629751317565588
L4,1.393590309,1.386472913,-0.287526744,-4.731149169,0.435426761,0.483111256,0.528233321,0.558493291,0.11857063,0.154817369,0.189852777,0.098443906,0.752282892,0.811405143,0.927133805,0.958022736,90.51385255,227.3468052,2.381162265,2.300999524,0.501106504,0.908195117,0.891760622,0.50789833,0.501850698,0.459322418,0.380930389,50.45135386,62.52382006,54.32646231,814.4235317,3.181731987,0.954930414,4.95250951,3.621234016,0.332992519,-3.181731987,0.439502029,0.069447932,-3722.016668,-3721.899037,0.854244,0.000394536,4.53921278,1.14973,1.12136,-4.677195651,-0.26648,1.08055,1.13257,-0.468358,0.396046,0.352835,-8.560701737,-4.336406322,4.224295415,2.112147708,0.473451737,6.448554029,9.843972777,2.299184329278538,1.27885,1.31265,-3.4777356891615585,0.86047,0.81902,0.366241,0.353576,-4.828932390973001,-0.573071769153,4.255860621820001,2.1279303109100005,0.4699402019290538,2.701002080063,1.7142037497893434,1.08055,1.13257,0.891760622,0.908195117,2.300999524,2.381162265,0.0537481450716254,0.435426761,0.558493291,0.3918658819756743,0.098443906,0.958022736,7.290779643715505,0.2260860259803829,1.12136,1.14973,0.5582992565544833,-0.8296396447438558,0.9136336309945208,0.4065385446864391
L5,1.390490146,1.388204579,-1.441456297,-4.820775273,0.540952292,0.483810101,0.536526277,0.533032054,0.152860604,0.155842341,0.15211517,0.095741707,0.929043981,0.811777861,0.913948938,0.977310846,92.53879132,223.9440854,2.314091553,2.300571138,0.52335888,0.905923873,0.887660734,0.523493265,0.508291681,0.468121003,0.39571936,53.9971395,65.65353535,60.30043019,907.014944,3.126626134,0.977217139,5.117274043,3.632068425,0.234168248,-3.126626134,0.505442291,0.065983838,-3871.815098,-3871.67906,0.822004,0.000456274,8.216825026,1.09644,1.12184,-4.706682125,-0.30763,1.14324,1.13084,-0.578374,0.415957,0.340565,-8.316071385,-4.240078018,4.075993367,2.037996683,0.490677933,6.278074702,9.669844481,1.9885451616697067,1.28105,1.24587,-3.484120582155383,0.84361,0.88382,0.33578,0.409586,-4.788931654949501,-0.688448041765,4.100483613184501,2.0502418065922505,0.4877473460860311,2.73868984835725,1.8291554833626344,1.13084,1.14324,0.887660734,0.905923873,2.300571138,2.314091553,0.0267107269878106,0.483810101,0.540952292,0.4139382660393581,0.095741707,0.977310846,15.497079739846011,0.1978910874372174,1.09644,1.12184,-0.990466676972468,-0.1377525382964569,-0.7777051682713174,-0.628629200120454
L6,1.391102449,1.390014128,-8.797292015,-6.069712023,0.566064107,0.501863586,0.53475587,0.554463287,0.161572866,0.148853895,0.166092061,0.084047708,0.970555348,0.854873276,0.942834514,0.985464033,92.4743608,235.2592649,2.302159071,2.332292022,0.539304184,0.912714312,0.895184961,0.538715784,0.530933667,0.500978502,0.433490547,59.36182059,62.37199584,0.0,946.7950984,4.216929138,5.653143481,5.839242881,5.2695243,0.059352281,-4.216929138,1.052595162,0.062843811,-5067.94951,-5067.79092,0.873471,0.000531913,7.611495326,1.09351,1.13578,-5.181492802,-0.31955,1.15271,1.11419,-0.727487,0.415327,0.359399,-8.79199851,-4.669745788,4.122252721,2.061126361,0.485171613,6.730872149,10.99026259,4.943988824825557,1.28798,1.24365,-3.9178631808142415,0.79065,0.91376,0.318785,0.444797,-5.1154682755495,-1.729011406077,3.3864568694724992,1.6932284347362496,0.5905877668276742,3.42223984081325,3.4584009126547084,1.11419,1.15271,0.895184961,0.912714312,2.302159071,2.332292022,0.0280973082966885,0.501863586,0.566064107,0.4291411486740507,0.084047708,0.985464033,15.273390039451858,0.1674712219507394,1.09351,1.13578,-0.9795422017572476,-0.2012388505646052,0.3524465439098222,-0.93583194735274
L7,1.391944217,1.390023571,-5.314947627,-6.652847397,0.532100261,0.550037272,0.548569698,0.507594111,0.080553485,0.164088707,0.161339918,0.1339918,0.983647037,0.935985837,0.853848304,0.963147596,92.88177074,226.1633506,2.328129756,2.3161431,0.53453457,0.89563921,0.91047801,0.531744615,0.511263836,0.471965849,0.403282137,56.17539335,0.0,63.76452038,969.6227507,2.935292335,1.39575107,4.764155524,3.272622277,0.419174418,-2.935292335,0.337329942,0.067131405,-4107.453463,-4107.306509,1.028095,0.000492886,5.887502701,1.14096,1.08958,-5.351114846,-0.30155,1.10836,1.15348,-0.666376,0.350273,0.403474,-8.26409764,-4.07408857,4.19000907,2.095004535,0.477325936,6.169093105,9.082965955,1.8655669325971664,1.24003,1.29469,-4.099551661342477,0.89282,0.79856,0.412003,0.332713,-4.5026678842235,-0.431572566893,4.0710953173305,2.03554765866525,0.4912682814096921,2.4671202255582503,1.4950969537480032,1.10836,1.15348,0.89563921,0.91047801,2.3161431,2.328129756,0.0197401969883061,0.507594111,0.550037272,0.4295468082104156,0.080553485,0.983647037,21.76000616735864,0.1586966500484084,1.08958,1.14096,-0.9791042287524624,0.2033590648066756,-0.031315337972076,0.9995095545354704
L8,1.391336381,1.387284174,-16.00624128,-7.098550086,0.524576034,0.468808237,0.542210212,0.518449497,0.206904584,0.143635855,0.117126351,0.104640328,0.842247484,0.793980619,0.919772643,0.979780097,88.12070126,235.9217246,2.316263949,2.302017967,0.513563408,0.919126211,0.886851239,0.51737943,0.52363139,0.503307406,0.446778775,53.40530317,65.1581891,57.12669751,1012.01656,4.125216768,5.361511299,5.975234886,5.277145554,0.0226939,-4.125216768,1.151928786,0.062384313,-5217.735787,-5217.563642,0.84224,0.000577377,10.27461792,1.10812,1.11226,-5.332705255,-0.30295,1.13171,1.13774,-0.613959,0.424239,0.369287,-8.730228666,-4.67056213,4.059666536,2.029833268,0.492651301,6.700395398,11.0588636,4.753580273856749,1.26809,1.26374,-4.091473526308223,0.83139,0.89708,0.31351,0.436762,-5.200639910756,-1.638669607711,3.5619703030450003,1.7809851515225,0.5614869945126358,3.4196547592335,3.283025313925698,1.13171,1.13774,0.886851239,0.919126211,2.302017967,2.316263949,0.0314579376273311,0.468808237,0.542210212,0.4007666599496989,0.104640328,0.979780097,12.739762685571172,0.2232049689860718,1.10812,1.11226,0.1554736932183112,0.987840032959314,-0.2976933849833158,-0.9546615361148554
L9,1.391778597,1.395598763,10.8566501,13.57718003,0.439945956,0.527418002,0.49995341,0.598630265,0.138883712,0.216688408,0.249254566,0.135669027,0.7410082,0.838147596,0.948005963,0.864237794,94.82952176,243.0540082,2.411803256,2.441398621,0.516189899,0.905964638,0.936230432,0.522899727,0.508880988,0.451291442,0.358136745,49.45923125,57.03851451,0.0,764.8027269,3.019551793,1.001182882,4.421794973,3.264045858,0.668699092,-3.019551793,0.244494065,0.068616466,-3574.557287,-3574.442165,0.918494,0.000386121,2.765572617,1.1582,1.20045,-4.684603349,-0.20755,1.06633,1.02374,-0.556328,0.416871,0.349126,-8.602063042,-4.321712174,4.280350868,2.140175434,0.467251415,6.461887608,9.755273047,1.7668089681683192,1.35474,1.31313,-3.453861761439972,0.78639,0.81776,0.344834,0.379286,-4.920362644741,-0.154016439383,4.766346205358,2.383173102679,0.4196086297197079,2.537189542062,1.3505797722188904,1.02374,1.06633,0.905964638,0.936230432,2.411803256,2.441398621,0.0658252580813996,0.439945956,0.598630265,0.3605379868315166,0.135669027,0.948005963,5.477198226639305,0.308376574780926,1.1582,1.20045,0.5494803497372833,0.8355066398614632,-0.9133242887552822,-0.4072330334951452
L10,1.390870556,1.394884919,-12.66718556,-14.58446553,0.556373463,0.545751025,0.559471673,0.511181513,0.139908684,0.162830786,0.190272083,0.162784197,0.972838241,0.928671264,0.832090943,0.95615915,93.74008283,235.516548,2.409186279,2.318644577,0.543299245,0.943533358,0.910996319,0.548014555,0.525284996,0.455825661,0.359278846,53.95581825,65.84819794,64.07352661,850.3589441,3.79440397,4.503741802,5.464230514,4.56070906,0.148074576,-3.79440397,0.76630509,0.06647333,-4240.461188,-4240.327555,0.786789,0.000448207,4.688575054,1.19324,1.10067,-4.629263316,-0.26304,1.02818,1.13823,-0.618473,0.357137,0.390775,-8.705738419,-4.627840255,4.077898164,2.038949082,0.490448736,6.666789337,10.8992619,4.388517551520103,1.25359,1.34854,-3.381783684165,0.89872,0.76673,0.424819,0.341273,-5.199823569204501,-1.3913181176065,3.8085054515980006,1.9042527257990003,0.5251403799778797,3.2955708434055007,2.851718954307232,1.02818,1.13823,0.910996319,0.943533358,2.318644577,2.409186279,0.0221359329548024,0.511181513,0.559471673,0.4077410368737809,0.139908684,0.972838241,18.419871333470105,0.2736966819846632,1.10067,1.19324,-0.4861658291936954,0.8738665724951417,0.1027195187255498,-0.9947103600912134
