Ligand#;lBCUT2D_CHGHI;lBCUT2D_CHGLO;lBCUT2D_LOGPHI;lBCUT2D_LOGPLOW;lBCUT2D_MRHI;lBCUT2D_MRLOW;lBCUT2D_MWHI;lBCUT2D_MWLOW;lBalabanJ;lBertzCT;lChi0;lChi0n;lChi0v;lChi1;lChi1n;lChi1v;lChi2n;lChi2v;lChi3n;lChi3v;lChi4n;lChi4v;lEState_VSA1;lEState_VSA10;lEState_VSA11;lEState_VSA2;lEState_VSA3;lEState_VSA4;lEState_VSA5;lEState_VSA6;lEState_VSA7;lEState_VSA8;lEState_VSA9;lExactMolWt;lFpDensityMorgan1;lFpDensityMorgan2;lFpDensityMorgan3;lFractionCSP3;lHallKierAlpha;lHeavyAtomCount;lHeavyAtomMolWt;lIpc;lKappa1;lKappa2;lKappa3;lLabuteASA;lMaxAbsEStateIndex;lMaxAbsPartialCharge;lMaxEStateIndex;lMaxPartialCharge;lMinAbsEStateIndex;lMinAbsPartialCharge;lMinEStateIndex;lMinPartialCharge;lMolLogP;lMolMR;lMolWt;lNHOHCount;lNOCount;lNumAliphaticCarbocycles;lNumAliphaticHeterocycles;lNumAliphaticRings;lNumAromaticCarbocycles;lNumAromaticHeterocycles;lNumAromaticRings;lNumHAcceptors;lNumHDonors;lNumHeteroatoms;lNumRotatableBonds;lNumSaturatedCarbocycles;lNumSaturatedHeterocycles;lNumSaturatedRings;lNumValenceElectrons;lPEOE_VSA1;lPEOE_VSA10;lPEOE_VSA11;lPEOE_VSA12;lPEOE_VSA13;lPEOE_VSA14;lPEOE_VSA2;lPEOE_VSA3;lPEOE_VSA4;lPEOE_VSA5;lPEOE_VSA6;lPEOE_VSA7;lPEOE_VSA8;lPEOE_VSA9;lRingCount;lSMR_VSA1;lSMR_VSA10;lSMR_VSA3;lSMR_VSA4;lSMR_VSA5;lSMR_VSA6;lSMR_VSA7;lSMR_VSA9;lSlogP_VSA1;lSlogP_VSA10;lSlogP_VSA11;lSlogP_VSA12;lSlogP_VSA2;lSlogP_VSA3;lSlogP_VSA4;lSlogP_VSA5;lSlogP_VSA6;lSlogP_VSA7;lSlogP_VSA8;lTPSA;lVSA_EState1;lVSA_EState10;lVSA_EState2;lVSA_EState3;lVSA_EState4;lVSA_EState5;lVSA_EState6;lVSA_EState7;lVSA_EState8;lVSA_EState9;lfr_Ar_N;lfr_C_O;lfr_C_O_noCOO;lfr_Imine;lfr_NH0;lfr_NH1;lfr_NH2;lfr_Ndealkylation2;lfr_alkyl_halide;lfr_allylic_oxid;lfr_amide;lfr_aniline;lfr_aryl_methyl;lfr_benzene;lfr_bicyclic;lfr_ether;lfr_furan;lfr_halogen;lfr_methoxy;lfr_morpholine;lfr_para_hydroxylation;lfr_piperdine;lfr_pyridine;lfr_sulfide;lfr_sulfonamd;lfr_unbrch_alkane;lqed
L17;2.229341071;-2.269611093;2.486696281;-2.17856968;7.742898939;1.642167503;31.13892854;9.911749046;1.369621727;2048.024782;32.12453433;26.36963581;28.15849019;23.83163248;16.21044294;18.89372451;11.65514166;15.50958716;8.630127586;12.81730758;6.373610313;10.22187653;16.14462839;0;0;0;0;11.37477255;53.88995943;0;0;204.2983363;0;652.2197223;0.270833333;0.5625;0.895833333;0;-5.26;48;618.446;2.28075E+11;30.09732136;13.84408902;6.095335673;284.2917171;4.121773139;0.356445577;4.121773139;0.052249558;0.897300004;0.052249558;-0.897300004;-0.356445577;10.5796;212.2794;652.718;2;2;0;0;0;8;0;8;2;2;4;9;0;0;0;230;10.17459013;0;0;0;0;0;0;0;0;0;181.9910121;33.67763099;43.71983512;16.14462839;8;0;70.28245739;0;0;0;10.17459013;194.1237462;11.12690298;31.39274971;11.37477255;0;16.14462839;0;0;0;0;194.1237462;0;32.67179984;24.06;0;0;0;18.25706351;4.663899807;0;70.02178483;0;0;-1.794600007;0;0;0;0;0;2;0;0;0;0;0;2;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0.151711892
L32;2.274744553;-2.281253966;2.451389528;-2.257784981;7.804796107;1.717029034;31.13289597;9.934795021;1.528483741;2002.785661;30.71032077;25.36963581;27.15849019;22.86530598;15.71044294;18.39372451;11.37466542;15.74550869;8.603434962;13.57056304;6.580977167;11.52998133;15.84317618;0;0;0;0;0;64.49903922;0;0;194.1237462;0;622.1979243;0.239130435;0.52173913;0.847826087;0;-4.86;46;590.432;87689407603;28.6026882;12.86353286;5.35214591;273.079574;2.418872932;0.062222468;2.418872932;-0.000883552;0.851961457;0.000883552;-0.851961457;-0.062222468;9.1764;204.302;622.688;0;0;0;0;0;8;0;8;0;0;2;7;0;0;0;218;0;0;0;0;0;0;0;0;0;0;194.1237462;80.3422154;0;0;8;0;69.21531242;0;0;0;0;194.1237462;11.12690298;31.82723938;0;0;15.84317618;0;0;0;0;194.1237462;0;32.67179984;0;0;0;0;13.33069312;2.700147182;0;71.82123076;0;0;-1.703922914;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0.155601811
L33;2.446820465;-2.305959569;2.525773243;-2.297864344;7.804946912;-0.144136136;31.13290373;10.01884625;2.002050145;2708.617792;58.84384155;38.83617201;40.62502639;35.50143332;20.81430851;23.49759009;16.17470746;20.54555073;11.07528769;15.84269823;7.690181542;12.94851332;199.9788342;105.3699611;0;48.53093655;26.35232922;26.35232922;0;0;0;0;18.94745182;1186.10796;0.243589744;0.423076923;0.564102564;0.25;-6.3;78;1158.424;6.22965E+15;60.92103252;21.06217299;13.22765519;424.5225809;14.66397246;0.496599348;14.66397246;0.415948236;0.105303629;0.415948236;-5.806044633;-0.496599348;15.0548;235.514;1186.648;0;4;0;0;0;6;0;6;4;0;30;11;0;0;0;422;18.94745182;22.99804733;0;0;0;49.41038814;0;0;105.3699611;0;0;121.9904747;33.86871691;72.9468021;6;124.317413;47.67041556;0;0;49.41038814;28.43919017;141.569485;34.12495032;50.77469119;105.3699611;22.99804733;15.84317618;28.43919017;49.41038814;0;44.50761193;97.0618731;0;11.12690298;36.92;373.4525872;0;0;-7.691674554;-19.81204023;-3.076975316;-0.051711277;-46.44835707;0;-4.890347268;0;0;0;0;0;0;0;0;24;0;0;0;0;6;0;4;0;24;4;0;0;0;0;0;0;0;0.095692284
L34;2.278395242;-2.28390299;2.454151012;-2.260031835;7.804838916;1.485281385;31.13289661;9.934780765;1.514838823;2172.505636;34.19129472;29.06023473;30.84908911;24.44069338;17.35317735;20.03645892;13.37466542;17.74550869;9.714546073;14.68167415;7.048054617;11.9048132;15.84317618;0;0;0;0;0;86.75284519;0;0;197.5532267;0;678.2605245;0.28;0.56;0.86;0.083333333;-4.86;50;638.476;3.55414E+11;32.35073549;13.80490242;6.201952253;298.5393424;2.439145041;0.061628986;2.439145041;-0.000883552;0.885373014;0.000883552;-0.885373014;-0.061628986;10.41008;223.25;678.796;0;0;0;0;0;8;0;8;0;0;2;7;0;0;0;242;0;0;0;0;0;0;0;0;0;0;192.1120839;108.0371642;0;0;8;0;69.21531242;0;0;27.6949488;0;192.1120839;11.12690298;31.82723938;0;0;15.84317618;0;0;27.6949488;22.25380597;169.8582779;0;32.67179984;0;0;0;0;13.39993467;7.838742357;0;64.62382747;0;8.723056347;-1.770746027;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;0;0;0;0;0;0;0;0;0;0;0;0.147277239
L35;2.287708051;-2.291685591;2.460603614;-2.268033212;7.805069881;1.398258676;31.13289735;9.934738303;1.559233588;2344.565561;37.67226867;32.75083365;34.53968803;26.01608078;18.99591176;21.67919333;15.4161173;19.78696058;10.40445942;15.21181346;8.591687784;14.3214679;15.84317618;0;0;0;0;0;109.0066512;0;0;200.9827072;0;734.3231248;0.277777778;0.537037037;0.814814815;0.153846154;-4.86;54;686.52;1.22014E+12;36.13287407;14.7576753;7.070165289;323.9991109;2.472370874;0.061628986;2.472370874;-0.000883547;0.937352404;0.000883547;-0.937352404;-0.061628986;11.64376;242.198;734.904;0;0;0;0;0;8;0;8;0;0;2;7;0;0;0;266;0;0;0;0;0;0;0;0;0;0;190.1004216;135.732113;0;0;8;0;69.21531242;0;0;55.3898976;0;190.1004216;11.12690298;31.82723938;0;0;15.84317618;0;0;55.3898976;44.50761193;145.5928096;0;32.67179984;0;0;0;0;13.58000895;13.20084659;0;56.60309819;0;17.97223256;-1.874704807;0;0;0;0;0;0;0;0;0;0;0;0;8;8;2;0;0;0;0;0;0;0;0;0;0;0;0.143074315
L36;2.311799848;-2.328532714;2.461554746;-2.287329318;7.804364083;0.682187807;31.13289601;9.80713437;1.479720274;1708.202812;30.71032077;26.4076879;28.19654228;22.86530598;16.96995596;19.65323754;12.62196168;16.99280496;9.811004753;14.77813283;7.724560694;12.70257929;15.84317618;0;0;0;0;0;83.19381236;33.38070895;0;145.5928096;0;630.2605245;0.304347826;0.608695652;0.934782609;0.181818182;-3.82;46;590.432;87689407603;29.57346494;13.49831253;5.682900989;276.6241195;2.546121373;0.062222468;2.546121373;-0.005594988;0.751870046;0.005594988;-0.751870046;-0.062222468;8.6276;202.574;630.752;0;0;2;0;2;6;0;6;0;0;2;7;0;0;0;226;0;0;0;0;0;0;0;0;0;0;145.5928096;132.4176975;0;0;8;0;47.67041556;0;0;51.36657298;0;167.8466156;11.12690298;31.82723938;0;0;15.84317618;0;25.68328649;0;47.93709246;145.5928096;0;11.12690298;0;0;0;0;8.787461621;9.542082231;0;55.48181845;9.840525933;0;-1.503740091;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0.155050475
L37;2.349195114;-2.272600898;2.528917039;-2.258242252;7.804483094;0.172642586;31.13289589;10.01808492;1.462553984;1694.697338;29.2961072;23.79804038;25.58689476;21.86530598;14.52693952;17.21022109;10.39996688;14.77081016;7.823901419;12.79102949;5.942609695;10.8538015;15.84317618;0;0;13.58588461;0;34.12495032;31.82723938;0;0;145.5928096;18.94745182;610.1462826;0.340909091;0.659090909;0.977272727;0.052631579;-4.62;44;582.362;42368582760;26.966474;11.81194867;4.81349043;258.8886478;6.351510981;0.453569489;6.351510981;0.230835501;0.174834843;0.230835501;-0.968450025;-0.453569489;6.3274;181.536;610.586;0;4;0;2;2;6;0;6;4;0;6;7;0;0;0;214;18.94745182;0;22.99804733;13.58588461;0;0;0;0;0;0;121.3273414;71.93588384;11.12690298;0;8;18.94745182;47.67041556;0;0;0;13.58588461;145.5928096;34.12495032;50.77469119;0;22.99804733;15.84317618;13.58588461;0;0;0;145.5928096;0;11.12690298;36.92;24.73097981;0;0;7.397888576;2.019499034;2.989124675;51.59788641;0;0.349669687;-1.936900049;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0.198278875
L38;2.355839672;-2.28392374;2.533374801;-2.268380095;7.804756082;0.172642585;31.13289727;10.01788171;1.498499745;2028.413343;36.25805511;31.17923822;32.9680926;25.01608078;17.81240834;20.49568991;14.44141876;18.81226204;9.624925875;14.43227992;7.953320312;13.64528807;15.84317618;0;0;13.58588461;0;34.12495032;76.33485131;0;0;152.4517707;18.94745182;722.2714831;0.346153846;0.615384615;0.884615385;0.217391304;-4.62;52;678.45;5.89833E+11;34.46498855;13.73839332;6.487104246;309.8081847;6.522879294;0.453569489;6.522879294;0.230835501;0.168100156;0.230835501;-1.053840971;-0.453569489;8.79476;219.432;722.802;0;4;0;2;2;6;0;6;4;0;6;7;0;0;0;262;18.94745182;0;22.99804733;13.58588461;0;0;0;0;0;0;117.3040168;127.3257814;11.12690298;0;8;18.94745182;47.67041556;0;0;55.3898976;13.58588461;141.569485;34.12495032;50.77469119;0;22.99804733;15.84317618;13.58588461;0;55.3898976;44.50761193;97.0618731;0;11.12690298;36.92;25.35247847;0;0;7.610704445;12.05449009;3.025624633;36.65169676;0;17.89416902;-2.107681942;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;4;0;0;0;0;0;0;0;0;0;0;0.154567769
L39;2.410637486;-2.351145741;2.56527921;-2.312048728;7.804986122;0.172642579;31.13290263;9.791923493;1.670281742;2937.313871;62.56745619;56.50283031;58.29168469;38.56878033;29.95249701;32.63577858;31.35432724;35.72517052;16.37449328;21.18184732;11.94164506;17.03732803;15.84317618;0;0;56.90580837;22.99804733;89.24164204;21.21815958;0;28.43919017;238.9660976;37.89490363;1178.689343;0.285714286;0.476190476;0.642857143;0.513513514;-5.42;84;1078.754;3.00E+18;64.57538598;22.38016471;12.30092794;508.4807448;6.979200502;0.49614282;6.979200502;0.230835501;0.070119177;0.230835501;-1.496501567;-0.49614282;16.7418;357.344;1179.554;0;8;0;2;2;6;0;6;8;0;10;11;0;0;0;454;37.89490363;22.99804733;22.99804733;13.58588461;0;0;0;0;0;0;166.1696928;163.7867441;55.63451492;28.43919017;8;37.89490363;47.67041556;0;0;209.4896165;42.02507478;117.3040168;57.12299765;69.72214301;0;45.99609467;15.84317618;42.02507478;43.31992376;0;210.6773047;72.79640482;0;11.12690298;73.84;53.10368979;0;0;6.977210237;8.786893204;6.419682285;28.38829204;0;55.1869564;4.285424194;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;8;0;0;4;0;0;0;0;0;0;0;0.118842723
L40;2.312283346;-2.28765271;2.497402066;-2.263200499;7.80451306;0.410842266;35.4967877;10.02567983;1.743412341;1634.080757;30.46768008;24.32325918;27.62397145;21.6177235;14.15845175;17.59766227;9.96253636;15.14777989;7.372920862;12.93531084;5.511458887;10.89192444;15.84317618;0;0;0;21.54429029;21.73598278;21.21815958;14.21959508;12.13273414;133.4600755;32.67560569;650.1098088;0.386363636;0.659090909;0.909090909;0.052631579;-3.64;44;621.27;14182363652;30.38891856;13.98235151;6.01334982;271.2797521;6.963043526;0.494514586;6.963043526;0.145595648;0.526899933;0.145595648;-1.021989959;-0.494514586;8.194;192.414;651.51;0;2;0;0;0;6;0;6;2;0;6;9;0;0;0;218;9.473725908;11.49902367;0;0;0;0;0;0;0;0;156.6619553;59.8031497;11.12690298;24.26486171;6;9.473725908;70.87229534;0;0;0;14.21959508;155.6380763;22.62592665;41.30096529;0;11.49902367;39.04505597;14.21959508;0;0;0;145.5928096;10.04526663;11.12690298;18.46;12.3312816;13.92608705;0;8.140923766;1.791721256;1.1970721;50.67468945;0;0;1.308595142;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;2;0;0;0;0;0;0;0;0.14693874
